"sourceKey","startdate","enddate","sourceName","shelfMark","sourceType","surface","dateComments","archiveName","archiveCity","siglum","archiveCountry","composition_name","composer"
1,"14","14","","Fonds Sint-Goedele, 5170","Cartulary","parchment and paper","The large writing at the top of f. 53 is obviously the same as that dated 1563","Algemeen Rijksarchief","B-Brussels (Bruxelles)","B-Bar","Belgium","Impudenter circuivi solum / Virtutibus laudabilis, moribus / Alma redemptoris mater","Philippe de Vitry"
1,"14","14","","Fonds Sint-Goedele, 5170","Cartulary","parchment and paper","The large writing at the top of f. 53 is obviously the same as that dated 1563","Algemeen Rijksarchief","B-Brussels (Bruxelles)","B-Bar","Belgium","… vita, spes clamantium Expl. redemptoris","no composer/anon"
1,"14","14","","Fonds Sint-Goedele, 5170","Cartulary","parchment and paper","The large writing at the top of f. 53 is obviously the same as that dated 1563","Algemeen Rijksarchief","B-Brussels (Bruxelles)","B-Bar","Belgium","Vos quid admiramini virgines / Gratissima virginis species quam decorat","?Philippe de Vitry"
1,"14","14","","Fonds Sint-Goedele, 5170","Cartulary","parchment and paper","The large writing at the top of f. 53 is obviously the same as that dated 1563","Algemeen Rijksarchief","B-Brussels (Bruxelles)","B-Bar","Belgium","Degentis vita quid prodest arte / Cum vix artidici promoti sint / Vera pudicitia","no composer/anon"
2,"14","14","","St Gudule I","fragment ","parchment","","Library Conservatoire royal de Bruxelles / Koninklijk Conservatorium Brussel","B-Brussels (Bruxelles)","B-Bcx","Belgium","Trop me desplait la departie","Jacob Vaillant"
2,"14","14","","St Gudule I","fragment ","parchment","","Library Conservatoire royal de Bruxelles / Koninklijk Conservatorium Brussel","B-Brussels (Bruxelles)","B-Bcx","Belgium","Par maintes fois ay oy recorder","Jacob Vaillant"
2,"14","14","","St Gudule I","fragment ","parchment","","Library Conservatoire royal de Bruxelles / Koninklijk Conservatorium Brussel","B-Brussels (Bruxelles)","B-Bcx","Belgium","Trop me desplait la departie","no composer/anon"
3,"14","15","","St Gudule II","fragment","parchment","","Library Conservatoire royal de Bruxelles / Koninklijk Conservatorium Brussel","B-Brussels (Bruxelles)","B-Bcx","Belgium","Patrem omnipotentem [Credo]","Perrinet"
3,"14","15","","St Gudule II","fragment","parchment","","Library Conservatoire royal de Bruxelles / Koninklijk Conservatorium Brussel","B-Brussels (Bruxelles)","B-Bcx","Belgium","Missa Malheur me bat 9.1: Agnus Dei II","Josquin Despres"
4,"14","14","Roman de Fauvel","MS 19606","rotulus ","parchment"," Dates from the early years of the 14th century, certainly after 1314. ","Bibliothèque Royal Albert 1er/Koninklijke Bibliotheek Albert I","B-Brussels (Bruxelles)","B-Br","Belgium","Tribum, que[m] non abhorruit / Merito [hec patimur] / Quoniam secta latronum spelunca [ii]","?Philippe de Vitry"
